序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
01071,="10:04:41.929",0x816CB,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01072,="10:04:41.959",0x8172E,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01073,="10:04:41.959",0x81792,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01074,="10:04:41.959",0x817F6,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01075,="10:04:41.989",0x8185A,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01076,="10:04:41.989",0x818BE,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01077,="10:04:41.989",0x81922,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01078,="10:04:42.019",0x81986,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01079,="10:04:42.019",0x819F8,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01080,="10:04:42.019",0x81A57,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01081,="10:04:42.049",0x81ABB,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01082,="10:04:42.049",0x81B1F,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01083,="10:04:42.049",0x81B83,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01084,="10:04:42.080",0x81BE7,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01085,="10:04:42.080",0x81C4B,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01086,="10:04:42.080",0x81CAF,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01087,="10:04:42.109",0x81D12,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01088,="10:04:42.109",0x81D76,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01089,="10:04:42.109",0x81DDA,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01090,="10:04:42.139",0x81E3E,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01091,="10:04:42.139",0x81EA2,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01092,="10:04:42.139",0x81F06,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01093,="10:04:42.169",0x81F6A,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01094,="10:04:42.169",0x81FCE,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01095,="10:04:42.169",0x82031,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01096,="10:04:42.199",0x82095,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01097,="10:04:42.199",0x820F9,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01098,="10:04:42.199",0x8215D,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01099,="10:04:42.229",0x821C1,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01100,="10:04:42.229",0x82225,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01101,="10:04:42.229",0x82289,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01102,="10:04:42.259",0x822ED,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01103,="10:04:42.259",0x82350,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01104,="10:04:42.259",0x823B4,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01105,="10:04:42.289",0x82418,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01106,="10:04:42.289",0x8247C,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01107,="10:04:42.289",0x824E0,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01108,="10:04:42.319",0x82544,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01109,="10:04:42.319",0x825A8,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01110,="10:04:42.319",0x8260C,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01111,="10:04:42.349",0x8266F,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01112,="10:04:42.349",0x826D3,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01113,="10:04:42.349",0x82737,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01114,="10:04:42.379",0x8279B,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01115,="10:04:42.379",0x827FF,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01116,="10:04:42.379",0x82863,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01117,="10:04:42.409",0x828C7,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01118,="10:04:42.409",0x8292B,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01119,="10:04:42.409",0x8298E,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01120,="10:04:42.439",0x829F2,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01121,="10:04:42.439",0x82A56,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01122,="10:04:42.439",0x82ABA,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01123,="10:04:42.469",0x82B1E,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01124,="10:04:42.469",0x82B82,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01125,="10:04:42.469",0x82BE6,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01126,="10:04:42.499",0x82C4A,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01127,="10:04:42.499",0x82CAD,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01128,="10:04:42.499",0x82D11,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01129,="10:04:42.530",0x82D76,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01130,="10:04:42.530",0x82DD9,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01131,="10:04:42.530",0x82E3D,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01132,="10:04:42.559",0x82EA1,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01133,="10:04:42.559",0x82F05,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01134,="10:04:42.559",0x82F69,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01135,="10:04:42.588",0x82FCC,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01136,="10:04:42.588",0x83030,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01137,="10:04:42.588",0x83094,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01138,="10:04:42.619",0x830F8,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01139,="10:04:42.619",0x8315C,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01140,="10:04:42.619",0x831C0,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01141,="10:04:42.649",0x83224,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01142,="10:04:42.649",0x83288,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01143,="10:04:42.649",0x832EB,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01144,="10:04:42.680",0x8334F,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01145,="10:04:42.680",0x833B3,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01146,="10:04:42.680",0x83417,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01147,="10:04:42.709",0x8347B,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01148,="10:04:42.709",0x834DF,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01149,="10:04:42.709",0x83543,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01150,="10:04:42.739",0x835A7,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01151,="10:04:42.739",0x8360A,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01152,="10:04:42.739",0x8366E,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01153,="10:04:42.769",0x836D2,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01154,="10:04:42.769",0x83736,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01155,="10:04:42.769",0x8379A,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01156,="10:04:42.799",0x837FE,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01157,="10:04:42.799",0x83862,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01158,="10:04:42.799",0x838C5,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01159,="10:04:42.829",0x83929,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01160,="10:04:42.829",0x8398D,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01161,="10:04:42.829",0x839F1,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01162,="10:04:42.859",0x83A55,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01163,="10:04:42.859",0x83AB9,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01164,="10:04:42.859",0x83B1D,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01165,="10:04:42.890",0x83B81,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01166,="10:04:42.890",0x83BE4,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01167,="10:04:42.890",0x83C48,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
