序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
00452,="10:04:35.749",0x724F3,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00453,="10:04:35.749",0x72557,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00454,="10:04:35.749",0x725BB,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00455,="10:04:35.779",0x7261E,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00456,="10:04:35.779",0x72682,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00457,="10:04:35.779",0x726E6,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00458,="10:04:35.810",0x7274A,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00459,="10:04:35.810",0x727AE,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00460,="10:04:35.810",0x72812,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00461,="10:04:35.839",0x72876,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00462,="10:04:35.839",0x728DA,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00463,="10:04:35.839",0x7293D,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00464,="10:04:35.869",0x729A1,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00465,="10:04:35.869",0x72A05,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00466,="10:04:35.869",0x72A69,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00467,="10:04:35.899",0x72ACD,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00468,="10:04:35.899",0x72B31,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00469,="10:04:35.899",0x72B95,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00470,="10:04:35.930",0x72BF9,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00471,="10:04:35.930",0x72C5C,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00472,="10:04:35.930",0x72CC0,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00473,="10:04:35.959",0x72D24,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00474,="10:04:35.959",0x72D88,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00475,="10:04:35.959",0x72DEC,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00476,="10:04:35.989",0x72E50,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00477,="10:04:35.989",0x72EB4,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00478,="10:04:35.989",0x72F18,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00479,="10:04:36.020",0x72F8A,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00480,="10:04:36.020",0x72FE9,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00481,="10:04:36.020",0x7304D,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00482,="10:04:36.049",0x730B1,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00483,="10:04:36.049",0x73115,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00484,="10:04:36.049",0x73179,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00485,="10:04:36.080",0x731DD,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00486,="10:04:36.080",0x73241,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00487,="10:04:36.080",0x732A4,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00488,="10:04:36.109",0x73308,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00489,="10:04:36.109",0x7336C,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00490,="10:04:36.109",0x733D0,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00491,="10:04:36.139",0x73434,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00492,="10:04:36.139",0x73498,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00493,="10:04:36.139",0x734FC,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00494,="10:04:36.169",0x7355F,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00495,="10:04:36.169",0x735C3,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00496,="10:04:36.169",0x73627,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00497,="10:04:36.200",0x7368B,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00498,="10:04:36.200",0x736EF,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00499,="10:04:36.200",0x73753,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00500,="10:04:36.229",0x737B7,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00501,="10:04:36.229",0x7381B,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00502,="10:04:36.229",0x7387E,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00503,="10:04:36.259",0x738E2,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00504,="10:04:36.259",0x73946,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00505,="10:04:36.259",0x739AA,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00506,="10:04:36.290",0x73A0E,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00507,="10:04:36.290",0x73A72,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00508,="10:04:36.290",0x73AD6,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00509,="10:04:36.320",0x73B3A,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00510,="10:04:36.320",0x73B9D,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00511,="10:04:36.320",0x73C01,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00512,="10:04:36.349",0x73C65,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00513,="10:04:36.349",0x73CC9,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00514,="10:04:36.349",0x73D2D,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00515,="10:04:36.380",0x73D91,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00516,="10:04:36.380",0x73DF5,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00517,="10:04:36.380",0x73E59,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00518,="10:04:36.409",0x73EBC,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00519,="10:04:36.409",0x73F20,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00520,="10:04:36.409",0x73F84,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00521,="10:04:36.439",0x73FE8,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00522,="10:04:36.439",0x7404C,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00523,="10:04:36.439",0x740B0,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00524,="10:04:36.468",0x74114,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00525,="10:04:36.468",0x74177,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00526,="10:04:36.468",0x741DB,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00527,="10:04:36.498",0x7423F,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00528,="10:04:36.498",0x742A3,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00529,="10:04:36.498",0x74315,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00530,="10:04:36.529",0x74375,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00531,="10:04:36.529",0x743D9,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00532,="10:04:36.529",0x7443D,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00533,="10:04:36.559",0x744A0,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00534,="10:04:36.559",0x74504,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00535,="10:04:36.559",0x74568,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00536,="10:04:36.589",0x745CC,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00537,="10:04:36.589",0x74630,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00538,="10:04:36.589",0x74694,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00539,="10:04:36.619",0x746F8,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00540,="10:04:36.619",0x7475C,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00541,="10:04:36.619",0x747BF,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00542,="10:04:36.648",0x74823,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00543,="10:04:36.648",0x74887,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00544,="10:04:36.648",0x748EB,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00545,="10:04:36.678",0x7494F,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00546,="10:04:36.678",0x749B3,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00547,="10:04:36.678",0x74A17,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00548,="10:04:36.709",0x74A7B,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00549,="10:04:36.709",0x74ADE,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00550,="10:04:36.709",0x74B42,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00551,="10:04:36.739",0x74BA6,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00552,="10:04:36.739",0x74C0A,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00553,="10:04:36.739",0x74C6E,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00554,="10:04:36.768",0x74CD2,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00555,="10:04:36.768",0x74D36,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00556,="10:04:36.768",0x74D9A,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00557,="10:04:36.798",0x74DFD,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00558,="10:04:36.798",0x74E61,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00559,="10:04:36.798",0x74EC5,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00560,="10:04:36.828",0x74F29,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00561,="10:04:36.828",0x74F8D,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00562,="10:04:36.828",0x74FF1,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00563,="10:04:36.859",0x75055,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00564,="10:04:36.859",0x750B9,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00565,="10:04:36.859",0x7511C,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00566,="10:04:36.888",0x75180,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00567,="10:04:36.888",0x751E4,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00568,="10:04:36.888",0x75248,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00569,="10:04:36.918",0x752AC,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00570,="10:04:36.918",0x75310,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00571,="10:04:36.918",0x75374,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00572,="10:04:36.949",0x753D8,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00573,="10:04:36.949",0x7543B,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00574,="10:04:36.949",0x7549F,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00575,="10:04:36.979",0x75503,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00576,="10:04:36.979",0x75567,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00577,="10:04:36.979",0x755CB,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00578,="10:04:37.009",0x7562F,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00579,="10:04:37.009",0x756A1,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00580,="10:04:37.009",0x75701,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00581,="10:04:37.039",0x75764,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00582,="10:04:37.039",0x757C8,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00583,="10:04:37.039",0x7582C,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00584,="10:04:37.069",0x75890,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00585,="10:04:37.069",0x758F4,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00586,="10:04:37.069",0x75958,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00587,="10:04:37.099",0x759BC,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00588,="10:04:37.099",0x75A20,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00589,="10:04:37.099",0x75A83,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00590,="10:04:37.128",0x75AE7,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00591,="10:04:37.128",0x75B4B,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00592,="10:04:37.128",0x75BAF,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00593,="10:04:37.159",0x75C13,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00594,="10:04:37.159",0x75C77,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00595,="10:04:37.159",0x75CDB,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00596,="10:04:37.188",0x75D3F,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00597,="10:04:37.188",0x75DA2,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00598,="10:04:37.188",0x75E06,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00599,="10:04:37.218",0x75E6A,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00600,="10:04:37.218",0x75ECE,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00601,="10:04:37.218",0x75F32,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00602,="10:04:37.248",0x75F96,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00603,="10:04:37.248",0x75FFA,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00604,="10:04:37.248",0x7605E,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00605,="10:04:37.278",0x760C1,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00606,="10:04:37.278",0x76125,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00607,="10:04:37.278",0x76189,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00608,="10:04:37.309",0x761ED,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00609,="10:04:37.309",0x76251,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00610,="10:04:37.309",0x762B5,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00611,="10:04:37.338",0x76319,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00612,="10:04:37.338",0x7637C,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00613,="10:04:37.338",0x763E0,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00614,="10:04:37.368",0x76444,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00615,="10:04:37.368",0x764A8,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00616,="10:04:37.368",0x7650C,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00617,="10:04:37.398",0x76570,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00618,="10:04:37.398",0x765D4,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00619,="10:04:37.398",0x76638,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00620,="10:04:37.428",0x7669C,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00621,="10:04:37.428",0x766FF,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00622,="10:04:37.428",0x76763,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00623,="10:04:37.459",0x767C7,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00624,="10:04:37.459",0x7682B,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00625,="10:04:37.459",0x7688F,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00626,="10:04:37.489",0x768F3,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00627,="10:04:37.489",0x76957,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00628,="10:04:37.489",0x769BB,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00629,="10:04:37.518",0x76A1F,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00630,="10:04:37.518",0x76A82,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00631,="10:04:37.518",0x76AE6,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00632,="10:04:37.548",0x76B4A,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00633,="10:04:37.548",0x76BAE,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00634,="10:04:37.548",0x76C12,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00635,="10:04:37.579",0x76C76,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00636,="10:04:37.579",0x76CDA,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00637,="10:04:37.579",0x76D3D,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00638,="10:04:37.610",0x76DA1,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00639,="10:04:37.610",0x76E05,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00640,="10:04:37.610",0x76E69,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00641,="10:04:37.639",0x76ECD,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00642,="10:04:37.639",0x76F31,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00643,="10:04:37.639",0x76F95,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00644,="10:04:37.669",0x76FF8,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00645,="10:04:37.669",0x7705C,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00646,="10:04:37.669",0x770C0,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
